id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
2434,Postes C5,2019-07-15,19.43122,-99.12807,CENTRO VII,CUAUHTEMOC
2435,Postes C5,2019-07-15,19.42107,-99.16087,ROMA NORTE II,CUAUHTEMOC
2436,Postes C5,2019-07-15,19.42613,-99.12876,CENTRO VI,CUAUHTEMOC
2437,Postes C5,2019-10-15,19.42561,-99.12683,CENTRO VI,CUAUHTEMOC
2438,Postes C5,2019-10-15,19.42919,-99.12521,CENTRO VII,CUAUHTEMOC
2439,Postes C5,2019-08-15,19.42758,-99.12541,CENTRO VII,CUAUHTEMOC
2440,Postes C5,2019-07-15,19.42772,-99.12698,CENTRO VII,CUAUHTEMOC
2441,Postes C5,2019-05-15,19.42907,-99.12698,CENTRO VII,CUAUHTEMOC
2442,Postes C5,2019-07-15,19.42866,-99.12945,CENTRO VII,CUAUHTEMOC
2443,Postes C5,2019-06-15,19.42989,-99.12561,CENTRO VII,CUAUHTEMOC
2444,Postes C5,2019-06-15,19.42839,-99.1253,CENTRO VII,CUAUHTEMOC
2445,Postes C5,2020-02-15,19.42653,-99.12624,CENTRO VII,CUAUHTEMOC
2446,Postes C5,2019-10-15,19.42673,-99.12782,CENTRO VI,CUAUHTEMOC
2447,Postes C5,2019-10-15,19.43002,-99.12736,CENTRO VII,CUAUHTEMOC
2448,Postes C5,2019-05-15,19.43022,-99.12832,CENTRO VII,CUAUHTEMOC
2449,Postes C5,2019-12-15,19.42927,-99.12851,CENTRO VII,CUAUHTEMOC
2450,Postes C5,2019-11-15,19.41881,-99.12993,TRANSITO,CUAUHTEMOC
2451,Postes C5,2019-10-15,19.42773,-99.12858,CENTRO VII,CUAUHTEMOC
2452,Postes C5,2019-11-15,19.42428,-99.12663,CENTRO VI,CUAUHTEMOC
2453,Postes C5,2019-06-15,19.41905,-99.15576,ROMA NORTE II,CUAUHTEMOC
2454,Postes C5,2019-11-15,19.43485,-99.12523,CENTRO III,CUAUHTEMOC
2455,Postes C5,2020-01-15,19.433,-99.127,CENTRO VII,CUAUHTEMOC
2456,Postes C5,2019-07-15,19.43893,-99.12853,CENTRO III,CUAUHTEMOC
2457,Postes C5,2019-11-15,19.43702,-99.14593,CENTRO VIII,CUAUHTEMOC
2458,Postes C5,2019-03-15,19.40402,-99.16724,ROMA SUR II,CUAUHTEMOC
2459,Postes C5,2019-03-15,19.43504,-99.13374,CENTRO IV,CUAUHTEMOC
